Id,expression
0,5
1,2
2,2
3,0
4,0
5,2
6,3
7,4
8,2
9,0
10,5
11,2
12,3
13,0
14,2
15,4
16,5
17,2
18,3
19,4
20,2
21,0
22,5
23,2
24,1
25,4
26,0
27,0
28,3
29,2
30,1
31,4
32,2
33,0
34,4
35,2
36,5
37,5
38,2
39,0
40,5
41,2
42,3
43,4
44,2
45,3
46,5
47,2
48,2
49,4
50,2
51,2
52,5
53,4
54,5
55,4
56,1
57,0
58,5
59,2
60,2
61,2
62,0
63,2
64,2
65,5
66,0
67,2
68,4
69,5
70,2
71,3
72,4
73,5
74,0
75,5
76,2
77,5
78,4
79,2
80,0
81,5
82,2
83,3
84,2
85,5
86,0
87,5
88,2
89,1
90,2
91,2
92,4
93,5
94,2
95,4
96,4
97,0
98,0
99,2
100,2
101,3
102,4
103,2
104,0
105,5
106,2
107,5
108,0
109,0
110,0
111,0
112,2
113,3
114,2
115,2
116,0
117,5
118,2
119,5
120,4
121,2
122,0
123,5
124,2
125,5
126,0
127,1
128,0
129,5
130,2
